"question,answer"
"""من نحن؟"",""نحن تطبيق """"مسار""""، نساعد المشجعين في الملاعب على الوصول لمقاعدهم، إدارة الازدحام، وتحديد مواقع سياراتهم باستخدام الذكاء الاصطناعي."""
"""ما هو تطبيق مسار؟"",""""""مسار"""" هو تطبيق ذكي يحسن تجربة المشجعين في الملاعب من خلال توجيههم لمقاعدهم، مراقبة الازدحام، وتقديم معلومات عن المرافق والمباريات."""
"""ما الهدف من مسار؟"",""نهدف إلى تسهيل وصول المشجعين لمقاعدهم، تحسين إدارة الحشود، وتوفير تجربة آمنة وسلسة في الملاعب."""
"""كيف يعمل التطبيق؟"",""يستخدم بيانات التذاكر ومخططات الملاعب لتوجيهك، مع مراقبة الازدحام وتقديم معلومات فورية عبر مساعد ذكي."""
"""كيف أصل إلى مقعدي؟"",""أدخل رقم تذكرتك في التطبيق، وسأوجهك خطوة بخطوة إلى مقعدك بناءً على بيانات التذكرة ومخطط الملعب."""
"""وين كرسيي؟"",""أعطني رقم تذكرتك وسأرشدك مباشرة إلى مقعدك في الملعب!"""
"""أين مقعدي في القطاع 3؟"",""أدخل رقم تذكرتك وسأوجهك إلى القطاع 3 باستخدام خريطة الملعب."""
"""كيف أوصل للصف الأول؟"",""أخبرني برقم تذكرتك وسأرشدك إلى الصف الأول في قطاعك."""
"""كيف أعرف مكان سيارتي؟"",""استخدم ميزة تحديد موقع السيارة، أدخل رقم لوحتك أو موقع الركن عند وصولك."""
"""وين ركنت سيارتي؟"",""أدخل رقم لوحة سيارتك في التطبيق وسأعرض لك موقعها في موقف الملعب."""
"""كيف ألاقي سيارتي بعد المباراة؟"",""استخدم التطبيق لتحديد موقع سيارتك بناءً على البيانات التي أدخلتها عند الركن."""
"""أين أوقف سيارتي؟"",""سأرشدك إلى أقرب موقف متاح بناءً على بيانات الازدحام في الملعب."""
"""هل هناك ازدحام عند البوابة 1؟"",""سأتحقق الآن... البوابة 1 مزدحمة قليلاً، جرب البوابة 2 لدخول أسرع."""
"""كيف أتجنب الزحمة عند الخروج؟"",""سأراقب الازدحام وأرشدك لأقل مسار مزدحم، حاليًا البوابة 5 هي الأفضل."""
"""هل المدخل الرئيسي مزدحم؟"",""نعم، هناك ازدحام خفيف عند المدخل الرئيسي، استخدم المدخل الجانبي لتوفير الوقت."""
"""ما هو أفضل وقت للخروج؟"",""انتظر 15 دقيقة بعد نهاية المباراة لتجنب الذروة، أو استخدم البوابة 7 الآن."""
"""متى تبدأ المباراة؟"",""أخبرني باسم المباراة أو الفريقين، وسأعطيك موعد البدء بناءً على الجدول."""
"""من يلعب اليوم؟"",""أدخل اسم الملعب أو التاريخ، وسأخبرك بالفرق المتنافسة اليوم."""
"""كم الوقت لبداية المباراة؟"",""إذا كنت تقصد مباراة اليوم، أعطني الفريقين وسأحسب الوقت المتبقي."""
