Ticket_ID,Match,Date,Time,Stadium,Block,Row,Seat,Gate,Parking_Zone,Ticket_Price,Category
T000001,Al Shabab vs Al Fateh,2023-03-28,21:17,Al Nassr Club Stadium,B56,V,83,2,Green,628,VIP
T000002,Al Raed vs Abha,2025-05-06,17:16,Prince Abdullah Al Faisal Stadium,B75,C,96,5,Zone D,355,Regular
T000003,Al Raed vs Abha,2025-09-16,17:11,King Fahd Stadium,B98,K,61,1,Zone B,648,VIP
T000004,Al Taawon vs Al Ettifaq,2025-03-17,19:37,King Fahd Stadium,B99,G,5,1,Green,959,VIP
T000005,Al Taawon vs Al Ettifaq,2023-08-14,18:36,King Fahd Stadium,B93,Q,24,10,Zone D,895,Student
T000006,Al Ahli vs Al Hilal,2024-02-29,20:14,Prince Abdullah Al Faisal Stadium,B12,S,25,9,Zone C,277,Regular
T000007,Al Shabab vs Al Fateh,2023-10-05,17:30,King Fahd Stadium,B54,G,38,5,Blue,242,VIP
T000008,Al Nassr vs Al Ittihad,2025-09-01,15:22,Jeddah Stadium,B73,C,61,10,Zone B,888,VIP
T000009,Al Wehda vs Damac,2024-10-06,16:16,Prince Abdullah Al Faisal Stadium,B70,F,34,7,Zone B,405,Family
T000010,Al Wehda vs Damac,2025-09-17,21:06,Prince Abdullah Al Faisal Stadium,B77,V,43,9,Zone E,434,Regular
T000011,Al Taawon vs Al Ettifaq,2025-05-29,19:20,Al Nassr Club Stadium,B27,M,96,5,Pink,369,Student
T000012,Al Taawon vs Al Ettifaq,2024-04-27,22:32,Prince Abdullah Al Faisal Stadium,B15,Z,35,7,Zone C,356,Family
T000013,Al Shabab vs Al Fateh,2024-01-10,22:28,Al Nassr Club Stadium,B6,Z,51,10,Zone A,239,Student
T000014,Al Taawon vs Al Ettifaq,2024-01-03,20:05,Al Nassr Club Stadium,B55,X,31,10,Zone E,841,Regular
T000015,Al Nassr vs Al Ittihad,2025-04-13,16:38,Jeddah Stadium,B41,O,62,6,Green,344,Regular
T000016,Al Nassr vs Al Ittihad,2023-07-02,20:54,Al Hilal Stadium,B98,J,1,2,Zone A,117,Family
T000017,Al Ahli vs Al Hilal,2023-04-26,16:22,Al Hilal Stadium,B30,K,90,8,Blue,379,Family
T000018,Al Nassr vs Al Ittihad,2025-06-01,20:54,Al Hilal Stadium,B2,X,39,1,Green,348,Regular
T000019,Al Ahli vs Al Hilal,2024-09-10,15:03,Jeddah Stadium,B97,G,53,6,Zone D,658,VIP
T000020,Al Ahli vs Al Hilal,2023-07-17,22:52,Al Hilal Stadium,B26,B,91,6,Pink,409,Student
T000021,Al Nassr vs Al Ittihad,2024-02-29,20:34,Prince Abdullah Al Faisal Stadium,B48,G,62,3,Zone D,885,VIP
T000022,Al Ahli vs Al Hilal,2025-05-23,17:32,Al Nassr Club Stadium,B43,C,15,8,Zone D,156,Regular
T000023,Al Raed vs Abha,2023-08-26,22:54,Jeddah Stadium,B46,T,25,2,Zone E,999,Regular
T000024,Al Wehda vs Damac,2023-07-24,18:15,King Fahd Stadium,B50,R,60,8,Blue,759,Regular
T000025,Al Nassr vs Al Ittihad,2025-03-24,17:57,King Fahd Stadium,B43,M,35,3,Zone B,585,VIP
T000026,Al Taawon vs Al Ettifaq,2024-02-01,22:14,King Fahd Stadium,B50,O,64,5,Pink,522,VIP
T000027,Al Raed vs Abha,2024-05-22,21:09,Jeddah Stadium,B77,W,55,1,Zone E,402,Student
T000028,Al Raed vs Abha,2024-11-02,22:04,Al Hilal Stadium,B71,P,65,5,Zone B,914,Regular
T000029,Al Raed vs Abha,2023-11-02,15:29,Prince Abdullah Al Faisal Stadium,B56,Z,87,3,Zone A,538,Family
T000030,Al Wehda vs Damac,2023-07-23,20:10,Jeddah Stadium,B30,O,45,3,Zone E,529,Regular
T000031,Al Wehda vs Damac,2024-12-27,22:50,King Fahd Stadium,B84,A,59,3,Zone D,223,Family
T000032,Al Taawon vs Al Ettifaq,2023-06-23,22:57,Al Nassr Club Stadium,B92,X,70,5,Zone E,564,Family
T000033,Al Shabab vs Al Fateh,2023-08-28,21:13,Prince Abdullah Al Faisal Stadium,B13,E,71,4,Zone C,72,Family
T000034,Al Nassr vs Al Ittihad,2025-10-10,19:50,Prince Abdullah Al Faisal Stadium,B51,T,13,5,Blue,931,Family
T000035,Al Shabab vs Al Fateh,2025-03-12,22:58,Prince Abdullah Al Faisal Stadium,B3,U,13,10,Pink,638,Regular
T000036,Al Shabab vs Al Fateh,2025-09-26,19:33,Al Hilal Stadium,B14,C,44,7,Blue,313,Student
T000037,Al Taawon vs Al Ettifaq,2025-07-12,22:04,Al Hilal Stadium,B16,M,12,9,Zone B,692,Student
T000038,Al Raed vs Abha,2023-11-10,16:48,Al Nassr Club Stadium,B27,A,76,5,Zone B,71,Regular
T000039,Al Raed vs Abha,2025-06-16,16:05,Jeddah Stadium,B15,J,91,8,Zone E,971,Student
T000040,Al Raed vs Abha,2023-11-10,17:34,Al Hilal Stadium,B14,A,20,3,Zone D,689,VIP
T000041,Al Taawon vs Al Ettifaq,2025-07-18,16:28,Prince Abdullah Al Faisal Stadium,B52,X,1,1,Blue,480,Regular
T000042,Al Shabab vs Al Fateh,2023-04-24,21:25,Al Hilal Stadium,B72,O,69,8,Blue,776,Regular
T000043,Al Shabab vs Al Fateh,2024-05-26,16:08,King Fahd Stadium,B22,B,23,3,Zone C,854,VIP
T000044,Al Raed vs Abha,2023-02-12,20:35,King Fahd Stadium,B27,J,50,1,Zone A,197,Family
T000045,Al Wehda vs Damac,2025-09-06,18:41,King Fahd Stadium,B57,L,43,1,Zone D,977,VIP
T000046,Al Shabab vs Al Fateh,2025-08-31,21:04,Al Hilal Stadium,B23,O,61,10,Zone C,610,VIP
T000047,Al Raed vs Abha,2024-02-03,21:03,King Fahd Stadium,B56,L,63,6,Zone E,985,Regular
T000048,Al Wehda vs Damac,2025-03-01,18:26,Jeddah Stadium,B88,D,72,8,Zone B,233,Regular
T000049,Al Taawon vs Al Ettifaq,2024-10-05,17:40,King Fahd Stadium,B64,I,40,1,Green,528,Student
T000050,Al Taawon vs Al Ettifaq,2025-07-18,22:17,Jeddah Stadium,B19,X,16,1,Zone B,156,Family
T000051,Al Ahli vs Al Hilal,2025-04-06,18:48,Prince Abdullah Al Faisal Stadium,B42,Y,97,8,Zone C,873,VIP
T000052,Al Nassr vs Al Ittihad,2024-07-20,17:29,Jeddah Stadium,B38,V,14,10,Pink,784,Family
T000053,Al Taawon vs Al Ettifaq,2023-10-06,15:45,Al Nassr Club Stadium,B88,O,76,3,Blue,802,Family
T000054,Al Ahli vs Al Hilal,2023-03-25,19:48,King Fahd Stadium,B27,W,8,7,Zone D,109,Regular
T000055,Al Wehda vs Damac,2024-12-07,19:14,Al Hilal Stadium,B67,Y,1,10,Pink,977,Family
T000056,Al Nassr vs Al Ittihad,2025-05-05,20:13,King Fahd Stadium,B53,Q,43,2,Zone A,489,Regular
T000057,Al Raed vs Abha,2025-10-23,18:13,Al Hilal Stadium,B71,H,11,7,Pink,503,Regular
T000058,Al Nassr vs Al Ittihad,2023-06-30,15:41,Al Nassr Club Stadium,B28,E,78,1,Green,107,Student
T000059,Al Taawon vs Al Ettifaq,2025-07-26,19:30,Jeddah Stadium,B69,C,64,7,Green,393,Family
T000060,Al Taawon vs Al Ettifaq,2024-05-08,15:31,Jeddah Stadium,B28,W,59,4,Zone D,675,VIP
T000061,Al Taawon vs Al Ettifaq,2023-07-10,21:33,Al Nassr Club Stadium,B84,E,40,1,Blue,500,Regular
T000062,Al Raed vs Abha,2023-10-24,19:32,Al Nassr Club Stadium,B67,V,38,8,Zone A,740,Family
T000063,Al Shabab vs Al Fateh,2023-02-25,22:38,Jeddah Stadium,B66,G,32,2,Zone C,356,Family
